Ortsname;Sämann;Sohn;VaterUnser;Matth13;Probe;Jahr;Orthographie;X;Y;Quelle;Kommentar;Informant;Herkunft
Aarau;x;;;;;;deutsch;47.3865348;8.0871816;Radlof;;;
Aargau;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Aargau;Helfer Stephani;
Alpnach;;x;;;;;deutsch;46.950177;8.1604529;Stalder;Kanton Unterwalden;Pfarrer von Flüe;
Altstetten;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton St. Gallen;Kurat Weißhaupt;
Amberg;x;x;;;;;deutsch;49.454271;11.8105731;Radlof;Gegend um Amberg;;
Ansbach;x;x;;;;;deutsch;49.2884329;10.5211449;Radlof;;Pfarrer Laubinger;1,5h von Ansbach
Appenzell;;x;;;;;deutsch;47.3328239;9.3905496;Stalder;Kanton Appenzell;Pfarrer Manser;
Augsburg/Ulm;x;;x;;;;deutsch;48.3896919;10.3982911;Vater;;;
Bamberg;x;;;;;;deutsch;49.8856722;10.821847;Radlof;;;
Basel;;x;;;;;deutsch;47.554652;7.5593846;Stalder;Kanton Basel;Pfarrer Leucht;
Bern;;x;;;;;deutsch;46.9546894;7.324896;Stalder;Kanton Bern;Pfarrer Kuhn;
Biel;;x;;;;;deutsch;47.1496678;7.2219026;Stalder;Kanton Bern;Pfarrer Kuhn;
Bisbach;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Wallis;Kaplan Dänen;
Bischofszell;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Thurgau;Lehrer Schneider;
Blankenburg (Harz)(?);x;x;;;;;deutsch;51.7835164;11.0476639;Radlof;;;
Boltigen;;x;;;;;deutsch;46.5976034;7.287323;Stalder;Kanton Bern;Pfarrer Schwyzer;
Bonn;x;;;;;;deutsch;50.7036647;7.0472603;Radlof;;Rektor Matthiae;Frankfurt
Brandenburg/Mark;x;;;;;;deutsch;52.8902705;12.7847623;Radlof;;Professor Quittwschnieder;Berlin
Braunschweig;x;x;;;;;deutsch;52.2722767;10.4578457;Radlof;;Bibliothekar Jacob Grimm;Kassel
Breslau;;;x;;;;deutsch;51.1272097;16.8517812;Vater;;;
Brixen;x;x;;;;;deutsch;46.7062488;11.6328581;Radlof;;;
Brugg;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Aargau;Helfer Stephani;
Cham;x;;;;;;deutsch;49.2294836;12.6276167;Radlof;Kamm im Bayerischen Wald;;
Chur;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Graubünden;Herr Joh. Ulrich;
Clausthal;x;x;;;;;deutsch;51.8065578;10.2815696;Radlof;;Professor Grotefend, Herr Berg-Geschworener Holfeld;Clausthal
Detmold;;;x;;;;deutsch;51.9284337;8.6057571;Vater;;;
Donauwörth;x;;;;;;deutsch;48.7195022;10.6248467;Radlof;;;
Donzdorf;x;x;;;;;deutsch;48.6834963;9.7791839;Radlof;;;
Dornbirn;x;;;;;;deutsch;47.3860162;9.7277297;Radlof;;;
Eichstatt;x;x;;;;;deutsch;48.8865325;11.1671113;Radlof;;;
Eifel;x;;;;;;deutsch;50.2500128;6.6579119;Radlof;;;
Ens;;;x;;;;deutsch;;;Vater;;;
Entlibuch;;x;;;;;deutsch;46.9638707;7.8167006;Stalder;Kanton Luzern;;
Erkelenz;;;;;;;deutsch;51.0649245;6.2690516;Napoleon;;;
Eyderstedt;;;x;;;;deutsch;54.3479361;8.6599925;Vater;;;
Freiamt;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Aargau;Pfarrer Gretener;
Freiburg/Basel;;;x;;;;deutsch;47.805921;7.712234;Vater;;;
Freiburg/Üchtland;;x;;;;;deutsch;46.8032576;7.0921743;Stalder;Kanton Freiburg, FR Unterland;Kaplan Lehmann;
Freiburg/Üchtland;;x;;;;;deutsch;46.8032577;7.0921744;Stalder;Kanton Freiburg, FR Oberland;Notar Marry;
Fricktal;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Aargau;Pfarrer Brentano;
Glatz;;;x;;;;deutsch;50.4341026;16.5161321;Vater;;;
Glogau;;;x;;;;deutsch;51.6702984;15.9740536;Vater;;;
Glraus/Mollis;;x;;;;;deutsch;47.0247073;8.9435102;Stalder;Kanton Glarus;Pfarrer Schuler;
Goms;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Wallis;Kaplan Dänen;
Goßfelden;x;x;;;;;deutsch;50.8623873;8.7433602;Radlof;;;
Grindelwald;;x;;;;;deutsch;46.6196376;7.7694063;Stalder;Kanton Bern;Professor Wyß;
Grünhayn/Erzgebirge;;;x;;;;deutsch;50.5790989;12.7700493;Vater;;;
Habkern;;x;;;;;deutsch;46.7363531;7.8667585;Stalder;Kanton Bern;Pfarrer Ringier;
Halberstadt;;;x;;;;deutsch;51.898677;11.0718441;Vater;;;
Hamburg;x;x;x;;;;deutsch;53.5586941;9.7877401;Vater, Radlof;;;
Hannover;x;x;;;;;deutsch;52.3797505;9.7614715;Radlof;;;
Helgoland;;;x;;;;deutsch;54.1799923;7.8251427;Vater;;;
Herrmannstadt;x;;;;;;deutsch;45.7830954;24.0697987;Radlof;;;
Hinterpommern;;;x;;;;deutsch;;;Vater;;;
Hirschberg;;;x;;;;deutsch;;;Vater;;;
Homburg/Berg;;;x;;;;deutsch;;;Vater;;;
Iglau;x;;;;;;deutsch;49.4045045;15.5105797;Radlof;;;
Kärnthen;;;x;;;;deutsch;46.7482319;12.7397003;Vater;;;
Kassel;x;x;;;;;deutsch;51.3149725;9.3905755;Radlof;;;
Kempen;;x;;;;;deutsch;51.377852;6.3770764;Napoleon;;;
Kilchberg;;x;;;;;deutsch;47.3225499;8.5277766;Stalder;Kanton Zürich;Pfarrer Wirz;
Kleve;;x;;;;;deutsch;51.7987152;6.0708274;Napoleon;;;
Köln;x;x;;;;;deutsch;50.9514695;6.7404976;Radlof, Napoleon;;;
Kopenhagen;;;x;;;;deutsch;55.6713812;12.4537419;Vater;;;
Krefeld;;x;;;;;deutsch;51.3457209;6.5220419;Napoleon;;;
Landsberg am Lech;x;x;;;;;deutsch;48.0236979;10.8903798;Radlof;;;
Langnau;;x;;;;;deutsch;46.9547764;7.7404808;Stalder;Kanton Bern;Amtsschreiber Studer;
Leipzig/Thüringen;x;;;;;;deutsch;51.2088969;12.3881773;Radlof;;;
Lötschental;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Wallis;Kaplan Dänen;
Lötthaue;;;x;;;;deutsch;;;Vater;;;
Löwenberg/Schlesien;;;x;;;;deutsch;51.1108462;15.4706398;Vater;;;
Lübeck/Kiel;;;x;;;;deutsch;54.065594;10.439979;Vater;;;
Ludwigslust/Mecklenburg;;;x;;;;deutsch;53.3155598;11.1616377;Vater;;;
Luzern;;x;;;;;deutsch;47.040859;8.2472127;Stalder;Kanton Luzern;;
Marburg;x;;;;;;deutsch;50.7983886;8.6727746;Radlof;;;
Meiningen;x;;;;;;deutsch;50.5763522;10.3760351;Radlof;Meinungen;Buchhändler Fleischmann;München
Menzelen;;x;;;;;deutsch;51.6076075;6.5156265;Napoleon;;;
Miesbach;x;;;;;;deutsch;47.7914162;11.8336425;Radlof;;;
Minden;;;x;;;;deutsch;52.3060825;8.8251285;Vater;;;
München;x;x;x;;;;deutsch;48.1547824;11.4978396;Radlof;in und um München;;
Neuss;;x;;;;;deutsch;51.1762626;6.6365848;Napoleon;;;
Nienburg;x;;;;;;deutsch;52.6401547;9.1658567;Radlof;;Bibliothekar Schlos;Frankfurt/Main
Nürnberg;x;x;x;;;;deutsch;49.4362322;10.9929554;Vater, Radlof;;;
Oberhasli;;x;;;;;deutsch;47.464791;8.4890758;Stalder;Kanton Bern;Professor Wyß;
Oberlausitz;;;x;;;;deutsch;50.7900488;14.7417944;Vater;;;
Oberpfälzisch;;;x;;;;deutsch;49.4126744;11.6179947;Vater;;;
Obersächsisch;;x;;;;;deutsch;49.5830456;10.6589827;Radlof;;;
Ostpreußen(Ermelland bis Westpregel);;;x;;;;deutsch;;;Vater;;;
Ottenbach;;x;;;;;deutsch;47.2808495;8.3409665;Stalder;Kanton Zürich;Pfarrer Locher;
Paderborn;x;x;;;;;deutsch;51.7276253;8.6249117;Radlof;;;
Pentling;;x;;;;;deutsch;49.0273908;12.1822183;Radlof;;;
Pforzheim;;;x;;;;deutsch;48.8742671;8.4461779;Vater;;;
Pfronten;x;x;;;;;deutsch;47.5792048;10.4835396;Radlof;;;
Pinzgau/Pongau;x;x;;;;;deutsch;47.8028623;13.0214107;Radlof;Pinzgau, Pongau im Land Salzburg;Joseph Ernst Ritter von Koch-Sternfeld;
Prattigau;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Graubünden;Herr Joh. Ulrich;
Raron;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Wallis;Kaplan Dänen;
Ravensberg;;;x;;;;deutsch;;;Vater;;;
Rheinberg;;x;;;;;deutsch;51.5642129;6.5465365;Napoleon;;;
Rheinwald;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Graubünden;Herr Joh. Ulrich;
Rostock;;;x;;;;deutsch;54.1476708;12.006871;Vater;;;
Rothenburg ob der Tauber;x;;;;;;deutsch;49.365865;10.1274898;Radlof;;;
Sachsenhausen;x;x;x;;;;deutsch;50.0983847;8.6685944;Vater, Radlof;;;
Schaffhausen;;x;;;;;deutsch;47.7191115;8.3528893;Stalder;Kanton Schaffhausen;Pfarrer Kirchhofer;
Schwalm;;x;x;;;;deutsch;50.8709231;9.0049522;Vater, Radlof;;;
Schwerin;x;x;;;;;deutsch;52.2722767;10.4578457;Radlof;;Jacob Grimm;Kassel
Schwyz;;x;;;;;deutsch;47.025879;8.6210273;Stalder;Kanton Schwyz;Dr. Zahn;
Siebenbürgen;;;x;;;;deutsch;46.4103817;23.2732581;Vater;;;
Sigriswil;;x;;;;;deutsch;46.7276682;7.6769744;Stalder;Kanton Bern;Pfarrer Kuhn;
Solothurn;;x;;;;;deutsch;47.2081225;7.4631725;Stalder;Kanton Solothurn;Regierungsrat Lüthi;
Speyer;x;;;;;;deutsch;49.3294162;8.362591;Radlof;;;
St. Tönis;x;;;;;;deutsch;51.3210053;6.4689324;Radlof;;;
St.Gallen;;x;;;;;deutsch;47.4242089;9.293342;Stalder;Kanton St. Gallen;Pfarrer Franz;
Stans;;x;;;;;deutsch;46.9566613;8.330198;Stalder;Kanton Unterwalden;Kaplan Kaiser;
Steckborn;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Thurgau;Pfarrer Gutmann;
Straßburg;x;x;;x;;;deutsch;48.5691668;7.6920399;Radlof;;;
Straubing;x;;;;;;deutsch;47.9114927;13.7060194;Radlof;;;
Stuttgart;x;;;;;;deutsch;48.7792331;9.0336936;Radlof;;;
Sünching;x;;;;;;deutsch;48.8239317;12.3665572;Radlof;;;
Tirol;;;x;;;;deutsch;47.1190417;7.1928808;Vater;;;
Toggenburg;;x;;;;;deutsch;47.2946234;9.0326785;Stalder;Ober-Toggenburg;Pfarrer Franz;
Toggenburg;;x;;;;;deutsch;47.2946235;9.0326786;Stalder;Mittel-Toggenburg;Pfarrer Franz;
Toggenburg;;x;;;;;deutsch;47.2946236;9.0326787;Stalder;Unter-Toggenburg;Pfarrer Franz;
Treffurt;;;x;;;;deutsch;51.1078609;10.1462051;Vater;;Prediger Oertl;Groß-Welsbach
Treysa;x;;;;;;deutsch;50.9155289;9.1735396;Radlof;;;
Ulm;x;;;;;;deutsch;48.3876817;9.8724054;Radlof;;;
Ulm/Memmingen/Dillingen;x;;;;;;deutsch;48.5646731;10.086895;Radlof;;;
Urseren;x;x;;;;;deutsch;46.5998851;8.5102768;Radlof, Stalder;Kanton Uri;Pater Archangelus, Herr Diogg;
Verona;;;x;;;;deutsch;45.6546025;11.1212423;Vater;;;
Vicenza;;;x;;;;deutsch;45.8727215;11.4459803;Vater;;;
Vogtland;x;;;;;;deutsch;50.4224629;12.1108278;Radlof;;;
Vorarlberg;;x;;;;;deutsch;47.2136813;8.7363104;Radlof;;;
Vorpommern;;;x;;;;deutsch;53.8939083;11.3819684;Vater;;;
Waldkirchen/Wollaberg;x;;;;;;deutsch;48.7221949;13.6314544;Radlof;;;
Waldsassen;x;x;;;;;deutsch;50.0003727;12.3207588;Radlof;um Waldsassen;;
Wertheim;;;x;;;;deutsch;49.742142;9.3697245;Vater;;;
Wesel;;x;;;;;deutsch;51.6700166;6.5170333;Napoleon;;;
Westerwald;x;x;x;;;;deutsch;50.5438557;7.5933688;Vater;Dillenburg, Herborn,Gießen,Wetzlar,Wetterau;Oberlehrer Dr. Seel;
Wetterau;x;x;;;;;deutsch;50.331164;8.7622106;Radlof;;;
Wien;x;;;;;;deutsch;48.220778;16.3100205;Radlof;;;
Wilf/Fulda;x;x;;;;;deutsch;50.5645135;9.5794966;Radlof;;Inspektor Petri;Fulda
Willstädt;;;x;;;;deutsch;;;Vater;;;
Würzburg;x;x;;;;;deutsch;49.7781628;9.8729892;Radlof;;;
Zellerfeld;;;x;;;;deutsch;51.8065579;10.2817414;Vater;;;
Zug;;x;;;;;deutsch;47.2949184;9.0326781;Stalder;Kanton Zug;Dr. Ithen;
Zürich;;x;;;;;deutsch;47.3775365;8.466524;Radlof;;;
Zweibrücken;x;;;;;;deutsch;49.2536008;7.2985177;Radlof;;;
Dänisch;;x;;;;;deutsch;56.2127553;9.2947102;Radlof;;;
Schwedisch;x;;;;;;deutsch;61.7509419;8.4171957;Radlof;;;
Amrum;;;x;;;;deutsch;54.6596965;8.2783531;Vater;;;
Geldern;;;x;;;;deutsch;51.5219373;6.2404438;Vater;;;
Flandern;;;x;;;;deutsch;51.0094968;-0.3711035;Vater;;;
Wasungen;;;x;;;;deutsch;50.6550453;10.3201015;Vater;;;
Königsberg;;x;;;;1871;Hochdeutsch;52.6881504;12.3391335;Winkler;;Dr. August Schreiner;
Danzig;;x;;;;1870;Hochdeutsch;54.3612063;18.5499458;Winkler;;Prof. Dr. Johann Aug. O. L. Lehnmann;
Greifswald;;x;;;;1870;Hochdeutsch;54.1197062;13.3432808;Winkler;;Prof. Dr. A. Hoefer te Greifswald;
Putbus;;x;;;;1870;Hochdeutsch;54.3469318;13.4136247;Winkler;;Dr. Sorof, Gymnasial-Direktor;
Neumark;;x;;;;1870;Hochdeutsch;50.6552414;12.3387325;Winkler;;Dr. Karl Löffler;
Altmark;;x;;;;1870;Hochdeutsch;52.5721201;10.9459845;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Meitzendorf;;x;;;;1870;Hochdeutsch;52.2100017;11.5497767;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Hohendodeleben;;x;;;;1870;Hochdeutsch;52.09966;11.4874215;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Neubrandenburg;;x;;;;1870;Hochdeutsch;53.5315858;13.17022;Winkler;;F. Boll, Pastor;
Stavenhagen;;x;;;;1870;Hochdeutsch;53.7022652;12.8757415;Winkler;;Fritz Reuter;
Fredrikstad;;x;;;;1870;Hochdeutsch;59.2174758;10.8881369;Winkler;;J. A. M. Mensinga;
Dithmarschen;;x;;;;1870;Hochdeutsch;54.1283871;8.7814738;Winkler;;Prof. Dr. Klaus Groth;
Angeln;;x;;;;1870;Hochdeutsch;54.6592314;9.4953369;Winkler;;Prof. Dr. N. M. Petersen;
Bökingharde;;x;;;;1871;Friesisch;54.774659;8.8340505;Winkler;;M. Nissen;
Stedesand;;x;;;;1871;Friesisch;54.7372057;8.8548623;Winkler;;M. Nissen;
Hattstedt;;x;;;;1871;Friesisch;54.5207271;9.0052957;Winkler;;J. Johannsen;
Amrum;;x;;;;1870;Friesisch;54.6596888;8.2661645;Winkler;;M. Nissen;
Sylt;;x;;;;1871;Friesisch;54.8992691;8.2186085;Winkler;;C. P. Hasen;
Helgoland;;x;;;;1871;Friesisch;54.1799731;7.8824803;Winkler;;Claus Rock;
Schlutup;;x;;;;1870;Hochdeutsch;53.8866926;10.75604;Winkler;;Herr von Grossheim, Pastor;
Hamburg;;x;;;;1870;Hochdeutsch;53.5586627;9.7630175;Winkler;;J. G. Hallier;
Hamburg;;x;;;;1523;;53.5586627;9.7630175;Winkler;;Testament;
Hamburg;;x;;;;1619;;53.5586627;9.7630175;Winkler;;Testament;
Bremen;;x;;;;1870;Hochdeutsch;53.1201237;8.5714817;Winkler;;Dr. J. H. Dreyer, Gymnasiallehrer;
Deister;;x;;;;1870;;52.2472343;9.4972003;Winkler;;F. Callin, Schuldirektor;
Himmelpforten;;x;;;;1871;Hochdeutsch;53.6219144;9.2614598;Winkler;;Herr Bremer, Lehrer an der Rektorschule;
Altendorf;;x;;;;1870;Hochdeutsch;49.7974501;11.0091721;Winkler;;Herr Mahler, Lehrer;
Rechtenfleth;;x;;;;1870;Hochdeutsch;53.3817341;8.4977197;Winkler;; Hermann Allmers;
